Video_ID	Category	Rating	Length_Of_Video	No_of_views	Uploader	No_Of_Rating
WWy4gJSO5Y0	Entertainment	0	63	315	james2006789	0
l-V56hnZDyo	Entertainment	0	63	136	NovaManXP	0
4iSPORQEaHY	Music	4.8	221	2624	matthew2180	5
IkusSsks954	Entertainment	4.85	216	149659	GTAmissions	800
hwdXelJfpPM	Entertainment	4.77	46	99034	grampl	251
vbLJHY-hXMA	Entertainment	4.61	121	183326	xbox360hd	435
HlF6fbIFiCM	Entertainment	4.67	63	1743671	nlitement	4119
j3Na2id5ico	Entertainment	0	251	85	Krashhedd	0
cLaQiK1kDLc	Entertainment	0	73	79	Krashhedd	0
bGEECoajFgk	Entertainment	0	184	361	Krashhedd	0
eqG9FcT3pBE	Sports	5	307	70	adrianbellobarro	1
IhRbLRJnThE	Entertainment	0	274	85	Krashhedd	0
g9XnOqGyNuA	Entertainment	0	269	90	Krashhedd	0
Z6FQUElIqVw	Film & Animation	0	115	36	Alzacon	0
QAWAMYGnubQ	Entertainment	0	286	72	Krashhedd	0
3wx47SNPwqk	Autos & Vehicles	4.54	395	6606	Kitediz	13
f_qCuz1zwQk	Comedy	4.78	123	1807	Ov3j1t4	9
3QKT8lriYfU	Entertainment	5	471	845	fedoxe	1
RiVKnDCYAm0	Entertainment	4.2	168	1346	guileanci	5
PwmpS6ns2kg	Entertainment	0	177	598	fedoxe	0
DHi_9JP0cgk	Entertainment	0	83	345	matigeneris	0
wps0ecPF5LA	Entertainment	4.2	101	5017	clemeriao	5
xoq_IbpnSus	Entertainment	0	271	580	Mxitho	0
p-nOFw7s9Qc	Entertainment	0	179	387	fedoxe	0
pWOMN2neHdg	Entertainment	5	332	97	fedoxe	3
xa6Zpq68Daw	Comedy	4.61	123	6900	kryptonao	28
gsRpRuZEuIE	Entertainment	4.5	183	358	lcmscia	2
tB5g9MxldZc	Sports	0	62	242	aloie	0
3A9L1We4BZU	Entertainment	0	46	30	aloie	0
LM1XIFAcV8w	Sports	0	23	57	aloie	0
KcFlTAeAyVQ	Sports	0	5	127	aloie	0
