Video_ID	Category	Rating	Length_Of_Video	No_of_views	Uploader	No_Of_Rating
QuRYeRnAuXM	Pets & Animals	4.96	252	1075	EvilSquirrelPictures	46
3TYqkBJ9YRk	Comedy	5	169	228	hggh22	5
rSJ8QZWBegU	Entertainment	4.31	95	356	TimeGem	13
nRcovJn9xHg	Entertainment	2.23	118	1115	wooochacha	57
UEvVksP91kg	Entertainment	2.67	83	281	johnx113	9
sVkuOk4jmCo	People & Blogs	3.67	49	1196	marcosoycadiz	6
ZTopArY7Nbg	Entertainment	0	145	11	TroyChannel	0
0RViGi2Rne8	Entertainment	2.31	9	490	OmnipotentSI	26
HT_QlOJbDpg	Comedy	2.09	14	1349	dumbasstheredneck	22
ShhClb6J-NA	Entertainment	0	61	29	thecrashguy	0
g9e1alirMhc	Comedy	4.65	152	483053	iamdanielisaac	2689
YZev1imoxX8	Entertainment	5	253	63	threefirstnames	3
I4yKEK9o8gA	News & Politics	4.39	173	106929	djlogitek	1010
1GKaVzNDbuI	Comedy	4.5	176	2464486	fatvids	13342
yuZhwV24PmM	News & Politics	4.71	213	46183	weneedhelp	280
zQ83d_D2MGs	Comedy	1.57	14	1550	dumbasstheredneck	14
DomumdGQSg8	Comedy	4.8	224	392908	imgrown18	1261
pFUYi7dp1WU	Comedy	4.07	200	110272	StanleyJenkins	1011
2l6vwAIAqNU	Film & Animation	4.07	294	71966	makemagazine	260
hiSmlmXp-aU	Entertainment	4.43	168	653840	bravenewfilms	198
dh6dF1XY3uI	Entertainment	5	249	146	Ffllaanndd	1
_a0gQFOJYWM	Film & Animation	4.64	369	728	diamondfan1910	11
UzPldH0vuHY	Entertainment	4	424	229	Ffllaanndd	4
h9gRdAmGFnM	Entertainment	4.33	410	220	LinIsKorean	6
rKWq0l6YiT0	News & Politics	4.81	37	4446	ratfink43	21
M67aD5lLC2M	Entertainment	4.2	477	379	zeldamastertimmy2	10
gP0jnBrVEpI	Film & Animation	5	107	161	NoodleStroodel	1
geUY_esOrt0	Comedy	5	218	664	samsarajade	12
kIxj9S6jiB4	Film & Animation	0	79	25	GoldGlove01	0
mfUwgrwkqiI	People & Blogs	4.86	53	447	Dukescubbie	7
0jjrvtqa-BQ	Entertainment	4.2	137	523	easterfilms	10
VoPgxHja4Os	Entertainment	2.33	340	1083	Djclyve	3
QJMZjx4L0BA	Film & Animation	5	322	230	diamondfan1910	4
OshpuI9BGVU	Entertainment	2.43	608	406	mywiiowns	7
eBGIQ7ZuuiU	Comedy	4.64	210	8119804	YouGotRickRolled	23256
L3mR8syHNIg	Entertainment	5	84	109	DarkArchon102	1
McZ3lP8lb6E	Entertainment	2.5	614	146	uglydollfreak	2
WsaQ0dQhXnA	Entertainment	4.85	226	3685	SamProof	33
16XHS2R_mEo	Entertainment	2.33	212	57	Zarzycki3000	3
lhGZVgoDub0	Entertainment	4.64	291	5481	WhiteKhakis	14
aYHBqH_xbCw	News & Politics	4.77	521	11327	Ryokibin	96
SfaxA9Q-9AQ	News & Politics	4.86	177	25618	CBS	182
1cWWE3A2mDI	News & Politics	1.46	89	3947	davoodnpussy	69
exT_E9FNu84	News & Politics	3.15	63	549	zabbabou	13
osqnkdc349s	News & Politics	5	132	597	giantPANDER	4
5lWlN8g2dAc	News & Politics	4.43	53	2511	JoannaLloyduynsv	7
ZCYtPT_bpTI	News & Politics	4.77	116	5321	speakmymind01	30
6KqmfUFZbBw	News & Politics	4.57	45	12971	ScrappleFace	23
Y_hAXbgxXp8	News & Politics	5	124	209	andiKentvmai	1
IxVsdS887HA	News & Politics	4.72	39	44203	wazolangu	184
L1WYOl2_5Kg	News & Politics	4.48	382	4648	iaxiloll	31
bjAuzPnJ82A	News & Politics	4.82	122	6715	lotarvk	33
E8_odhuWfTk	Comedy	4.68	149	53950	SteveMarmel	341
TKe2rBbGGEA	News & Politics	4.77	138	10240	go33tv	44
lwrxclIGJqk	Comedy	4.48	71	11888	oonkamoonka	58
T3depGF5E-0	News & Politics	4.71	219	51837	llamomanu	390
9l2qbaOMbcU	News & Politics	5	116	894	ciwanamed	3
2hZx3yBoNw4	News & Politics	5	116	7515	CBSEXPosed	2
UCeA4K2-wNk	Music	3.77	294	390697	spityogamecom	1320
BDmhe0vIFiQ	Music	3.75	166	3768	SpTgUrL2010	16
9xSvVPa41Cg						
3Cc7-4OeAgM	Music	4.6	303	368	joris6440	10
NDtHpG0c0Cc	Howto & Style	2.67	185	84	reidooproductions	3
e5L0hW2Dj10	Music	0	64	199	MYHOODURHOOD2	0
UmAa8JTm1Cc	Music	0	59	116	iRespond2U	0
#NAME?	Music	5	104	48	headz22	2
QXEdjYf5ezY	Music	4.69	401	267189	spityogamecom	442
G84LhBePK6k	Music	4.76	356	200754	spityogamecom	364
OnosHPTij3M	Entertainment	4	295	247	mi3456789	5
yhGd25KcOh4	Music	4.82	187	164387	spityogamecom	108
Cj_S_rut3LQ	Music	5	176	762	MrCeoBoy	4
XNyINFMHHm4	Music	0	152	665	MRMAKEEMBOP	0
6hIis-_GIXk	People & Blogs	3.67	240	1195	jessy0525	3
hd6yq-HIibI	Music	4.72	202	330284	Chevymalibu12	392
ZEDYzwdqHrU	Music	5	111	158	MRMAKEEMBOP	1
t02kRsw1AUU	Music	4.2	193	236	bihwiLoganqjrg	5
H4kZqk1NF4U	Music	5	294	419	symonds4260	1
J52gclijmWw	Music	4.82	187	44965	spityogamecom	98
5vLbA7n8EG0	News & Politics	5	53	1003	alexasWelchvpjjc	1
3ZbXJp-NUZc	News & Politics	2.47	13	784	puebloplug	19
McYsnvAymV8						
MaE1kowuCBQ	Sports	4.46	117	742374	tottigol1020	597
N1RMCuIUB9c	Music	4.84	190	288213	NettwerkMusic	1051
FZK4BRN6D9w	People & Blogs	4.8	365	117139	AREQCFC	272
pM3GHI5xR9U	Sports	4.69	194	732199	savas82	1457
3ds7V085k7g	Sports	4.5	182	702596	tottigol1020	617
clhOnZRrmXc	Music	4.8	230	2135635	ped666	3747
TPUZqcibh4E	Music	4.82	225	1102105	daRangers	2608
OIxgw04Y0Fc	News & Politics	4.34	113	96500	Veracifier	216
13YOGHzzoMA	Sports	4.81	594	83803	360Gamerz	185
16s-pJs69UU	Entertainment	4.62	215	111214	Naimahdancer	339
kHKefMuCqlk	Sports	4.63	222	826140	minidaul	772
1A1thQqUvAI	Music	4.75	289	48360	colleenblueblue	44
awVJCNMw1To	Music	4.83	367	71376	JessCLevengood	207
FJETon8XRxY	Music	4.71	209	105878	ped666	307
3t8GdtYdRk0	Music	4.48	120	2657650	HalfaZoul	3552
o5t3PwKccOo	Entertainment	4.84	200	140901	EEntertainmentTV	297
ype6Hw_Hmjo	Music	4.92	306	14332	25thNovember1970	60
ylzerQfIMn4	Comedy	4.25	240	92079	mrpregnant	528
2sigtR16STI	Comedy	2.84	202	174514	mrpregnant	842
uAZ7Cop0t8U	Comedy	4.09	144	30395	mrpregnant	440
im7IorDZ9uY	Comedy	4.56	294	442233	mrpregnant	2793
tVFUWgWyEtE	 UNA 	4.26	179	19624	mrpregnant	174
#NAME?	Comedy	4.17	317	54841	mrpregnant	492
GJZL0XVUnRE	Comedy	4.39	186	12615	mrpregnant	257
O27r2zYVIhw	 UNA 	3.53	300	87835	mrpregnant	680
ha0gjt-r2Tc	Comedy	4.55	313	33427	mrpregnant	614
bzVy77JZX9U	Comedy	4.08	256	126333	mrpregnant	675
i-QTc3V4PEY	Comedy	4.28	69	12683	mrpregnant	252
qkrvYnNpQm4	Comedy	4.54	932	160465	mrpregnant	1294
vK4zrqp1yS8	Comedy	4.18	419	200489	mrpregnant	1391
utegCEv4qkw	Comedy	3.94	300	15817	mrpregnant	241
ffOY69kjeSU	Comedy	1.3	45	387	breLloydvrnsst	53
yp-i6L_NRPM	Comedy	1.56	14	221	AndaleTheGreat41	32
wUsG23QyaCk	Comedy	1.47	47	251	davoodnpussy	51
mRHGKGRlz-Q	Comedy	4.86	57	195618	JamesNintendoNerd	2469
wKXAEVO4htE	Entertainment	4.77	425	29972	arthurhapsody	214
HUOHibEbzHE	Music	4.69	111	86731	Jirron	447
4RqiI4JdGJE	Comedy	4.77	37	127743	JamesNintendoNerd	1235
LW78tWxjdPA	Comedy	4.87	54	92279	JamesNintendoNerd	1446
Np2JTCX6H40	Entertainment	4.48	200	75198	MasterOfCards	631
h2maEE7yodQ	Entertainment	4.81	205	168148	JamesNintendoNerd	2290
p3KqyCDaH28	Comedy	5	545	949	fabsbento	8
y_2jJS_BAh8	Entertainment	3.86	324	7895	DukeNukem3DO	90
cRT3tV9VdbU	People & Blogs	4.62	508	6378	cloud8745	253
i-6IDRAFUtw	Music	4.35	172	4483	UL05ST	20
S-6sdlftpv8	Comedy	4.6	595	5399	DinnerItBurns	72
K8OVhweDZKA	Comedy	4.34	399	20256	webjunkpoop	111
E7OKDwX4Auw	Comedy	4.74	706	175886	JamesNintendoNerd	2989
kGpviK7Lu20	Comedy	4.64	419	21913	vegeta273	182
td00Xk6uUD8	Comedy	4.73	414	10347	vegeta273	108
muaTrM7Ouxw	Entertainment	5	597	736	SonicXisnow2009	4
yYc9bk2muyw	News & Politics	4.07	407	392	devttt	30
F76IkRohiow	News & Politics	3.53	131	1853	2008freetibet	36
2I2bvs3uZ4c						
h8FMNtTw24o	News & Politics	4.75	178	19946	cmforum	434
TR-ekaXzaWA	News & Politics	4.64	407	100	Tibetan72	11
Oi0NB6ENnF4	News & Politics	3.11	1044	1856	journeymanpictures	19
huVb7FH87Wk	News & Politics	1.7	433	807	mayyoubekind	40
vv7jdRswKSM	News & Politics	3.33	250	1420	sonamsam23	12
ou_b4qq1REU	News & Politics	3.5	64	1362	kgb23lyc	8
oG21V-JwWYs	News & Politics	4.27	579	25430	UTEEngineer	494
uqoRF9bu8VI	News & Politics	3	46	1021	squishydemon	4
uzv-gkiSjEk	News & Politics	3.99	156	20435	TAIYOWHALE	78
xwGX5Fx7o8E	News & Politics	3.33	599	211	HHK17	12
#NAME?	News & Politics	3.8	122	634	sonamsam23	10
EjN3bdvKGiw	News & Politics	3	149	1458	NewsRevue	7
pcfQ8GA063c	News & Politics	3.72	130	33998	jijtube	129
qB_YqEk15e0	News & Politics	2.82	129	4123	bharatamata	101
Rql5wjKhzZM						
Hv3Yq3rpQB8						
XsJBNkAn1Ws						
O3SOfHiaLCc	Comedy	4.2	414	1263	FreeWingz	50
sHwAB4RokrA	Music	4.67	241	331	agentsmith21	9
PHf2g_4TyDY	Sports	4.64	131	4052	Bigbrando99	22
DlEgO89LiIw	Comedy	1	140	189	live2bshiv	1
o3eBdSlQIp4	Music	4.67	282	1346	chaseemery	12
xQv4K2rO0O0	Entertainment	2.25	43	600	mrules45	12
bIP1V1u2q-E	Sports	5	85	9191	bucksdotcom	19
Y9LbqKVTXMo	Music	4.88	166	7001	seeso	203
iqHVh0D4e7M	News & Politics	3.71	82	9092	AssociatedPress	7
zokUPp_nj_c	Sports	5	68	8630	ksalinda	6
16D4DCduxVA	Sports	4.74	346	10713	kOrOne79	42
Rv7tbFPXXmU	Sports	3.85	309	47106	newzjim	60
fUCguV4V6HY	Sports	4.07	119	50110	PrestonV20	54
E9gUcbDcd7E	Comedy	4.51	268	268631	elgroxo	926
ZYryffNvDaU	Sports	5	478	7853	puprock2975	22
AkYFKuGJEsE	Sports	5	460	5734	puprock2975	19
l6-J82_3utA	Sports	5	58	2896	1EDmanLV	4
GAce3GwmyLg	Music	4.18	90	3632	Brooky217	11
Zs4H9Itl40c	Sports	5	150	7962	dinxbeau	12
R08Nxax_jsM	Entertainment	4.17	513	1040	xeenslayer	6
qhAnSGeTpz4	Comedy	1.67	80	210	iRespond2U	12
mqgY3vx6DCM	Comedy	1.8	54	224	1mResponder	5
rfwt5veVXEk	Comedy	4.54	66	714699	supermac18	1671
4ira1eUOQGY	Comedy	4.75	106	1714836	supermac18	5477
RDIIzmusYi0	Comedy	4.47	33	366065	supermac18	721
hYbyDY790nM	Comedy	4.62	94	481660	supermac18	1219
0TeHUtyNqDI	Comedy	4.48	180	254111	supermac18	1444
WmyeEX3FG9U	Comedy	4.63	182	218052	supermac18	1012
WM1yqH5dBj4	Comedy	4.63	184	72844	supermac18	643
G6XenDuiyvE	Comedy	4.74	73	223533	supermac18	607
FqvAqb6UyqE	Comedy	4.59	82	440797	supermac18	1331
zzlDKaXAIgE	Comedy	4.6	240	181663	supermac18	869
9MdXdTSwfX4	Comedy	4.38	76	401454	supermac18	955
1cSnEPsPr5Q	People & Blogs	4.48	69	93061	supermac18	320
25CpF-Wudms	Comedy	4.52	37	399838	supermac18	872
dzslyDdYnRI	Comedy	4.55	113	338457	supermac18	902
eYfedzk27zQ	Comedy	4.65	86	192080	supermac18	636
LBTKkAgRkYU	Comedy	4.58	63	82734	supermac18	206
tTy__qMSoR8	Comedy	4.62	55	63544	supermac18	158
lpSTTtV8_Ms	Comedy	4.47	86	166754	supermac18	375
zzCUvBWsgCk	People & Blogs	4.43	218	146453	Starsxx21	182
wF8rPPpmAQc	Music	4.7	300	72416	mileyroxmyworld4ever	182
IU78CciLDh8	Music	5	205	1071	Hedda1996	2
4z31fXh-UEY	Entertainment	5	256	752	0sonalika0	2
FurZU6V3Uws	Music	0	196	296	lovelifetilldeath	0
h_8gsd8IT7Y	Music	4.99	214	11215	r4ndybp	67
WlEyuOZ0ZWM	Music	3.67	224	5431	BillabongNL	6
eEe3p87b-xw	Music	4.62	116	23125	asianarmy	37
nPEOr55j0Fs	Music	5	194	5915	kat12923	84
fBPaEZ84uJk	Music	4.88	228	5617	qtpiecoco7	8
f9_yEORBJK0	Music	5	179	6188	HannahMileyFanatic	10
OTYqs0EHRIE	Entertainment	3.9	97	2359	shabba57	10
tNcrmKYGE3k	Music	4.77	216	30792	RoisFan	56
7vVbX2---rQ	Music	4.6	218	2008	IEatDogs342	15
V7xMLOHYPbA	Music	4.83	219	52314	kat12923	221
WH56yJudnGs	Music	4	224	978	drexiel8	9
KRLGnK8Yn9c	Music	3	213	716	715gilmoregirlsfan	4
wxiYTV6FG9g	Entertainment	4	218	1562	mileyfan98	5
CFCMSW_SsPY	Music	4.44	214	6438	ChristerD93	27
LO_5wisNs5M	Music	5	214	1902	xZashleyFanx	8
-17Zbw0e6zs	Entertainment	5	100	2198	RosetylerProductions	13
VeGFjTGG7A0	Entertainment	3.5	126	5689	JexL92	6
pyD1kaXW2eI	People & Blogs	4.44	428	2475	Madrosed	34
WNn0ZMEPmD0	Film & Animation	3.5	166	498	stemcellfilms	10
I_vG88ofWk0	Film & Animation	5	214	346	XL0v3Dx4l0tX	17
GfHs7xrPRsE	Film & Animation	5	286	370	MrsxDeanxWinchesterx	8
k42l5NGDG94	Music	4.59	250	568	suchiha13	22
p4XI4_K35pY	Film & Animation	5	221	257	lions22rule	3
5_-UZDCsv2M	Film & Animation	4.94	401	1011	Ketsuekiko	35
wfaCPvwPJCM	Film & Animation	5	185	386	lions22rule	3
JbJpzHhPZKU	Film & Animation	4.71	109	2561	Avatargurl649	52
GiEVh41zRP0	News & Politics	0	81	98	ThomsonFinancial	0
M2UdaF_h0ys	Music	0	24	84	Big100000	0
gsFyNxoF5fc	Music	4.76	183	1152	suchiha13	25
1DZLOPnkrJo	Education	5	496	998	UFlibraries	1
Hn8YhLPdzI8	Film & Animation	5	238	375	PimpMyChocobo	17
dzgdGCQCRk8	Film & Animation	4.75	248	276	super5lady95	20
oKPAgGdh4Jw	Film & Animation	4.93	231	1078	xMimiko	58
6KdIGOXexWY	Film & Animation	4.91	181	2177	xMimiko	186
HLAdLQ78LjU	News & Politics	4.52	636	11933	McLiga4	21
GS9T0XzdAMs						
osbHXixhXqQ	Science & Technology	4.06	88	1438	puebloplug	18
MwO_F-pC9R0	Science & Technology	1.73	22	445	davidisbetterthenyou	11
HYF5FF7rAoo	 UNA 	4.2	118	1156	batermaster77	5
jktvihVzj9U	Science & Technology	2.25	77	246	davoodnpussy	4
5LhI5Z11Tlo	Film & Animation	1.12	199	844	HadassaCraigdspwkj	8
RBQoWgXepa4	Science & Technology	4.5	62	2655	mistermashup	14
BJss1OA_ESY	Science & Technology	0	191	132	fuzzishaq	0
q6e7Jaz4FOc	Education	3.83	461	1003	mistermashup	6
xsG2hccZPl4	News & Politics	5	245	914	mistermashup	7
OwqFoljnZ-w	Comedy	5	134	1010	mistermashup	5
QCDeE-OYhn8	News & Politics	5	205	763	mistermashup	1
3o0X5yz1IaY	Howto & Style	0	124	17232	MovieMaker987	0
uAsO8hLcPu4	Entertainment	3.79	91	2013	jddj111	19
Vxt5ajpjxSs	Entertainment	2.7	200	24145	Naz18h	10
ddpiGvL8uZA	Education	0	54	147	StormProductionzZ	0
myASNrZtjX4	People & Blogs	3	93	342	gilmar406	2
74tzG-Fj9pU	Howto & Style	3	79	186	aradroxar	2
oswQDEgzBvA	Entertainment	3.56	176	2176	IrustyshacklefordI	9
OnYQph0xQjk	People & Blogs	4.8	443	340	CoastermanTB	5
6zAi1rcchrs	People & Blogs	2.72	479	2292	CoastermanTB	18
yAO8RB1zGRA	Howto & Style	0	44	72	thisisisaac	0
iZYqAomoHYA	Howto & Style	5	196	314	JohnMoylanIV	1
oNeC28mhU1o	Howto & Style	5	40	194	dazmondo007	2
nZUQTqatZRE	Comedy	5	59	7797	IrustyshacklefordI	21
kgYdkamOUdc	Howto & Style	1	96	95	djluckyluck	1
mYAeAMYVjRs	Howto & Style	3	66	2979	PL4YB3Y0ND	4
ixkgYWijITQ	Entertainment	0	309	41	dchhat007	0
pwutYAzbOJI	Entertainment	0	92	59	10cutie10	0
s7GgjGj6pO8	Howto & Style	0	39	84	dantheman8679	0
nxg3ZXT1v2M	Entertainment	0	176	340	BTNH420	0
Z7_bd9YdCMM	Howto & Style	1	124	303	kitesurffreak	1
92KZt9gYqZk	Music	4.68	243	35163	DaniiDeanwnsyuv	192
vONuoewjesY	Music	4.8	133	9649	mudcap16	55
hTj6ieUXcU8	Entertainment	4.7	295	6801	sora99252	43
ZW8HTABTfBs						
9IwLGLdU4II	People & Blogs	5	77	1101	9224221550	6
RLgOxur7dBw	Music	4.62	238	4423	DaniiDeanwnsyuv	21
QeLRteOgxeU	Music	4.88	498	20898	MuzicIdol	147
7-Trlse6B9g	People & Blogs	5	84	665	haircubedspray	1
3jUT5KXh5es	Entertainment	4.75	124	1048	jjfridge	4
B7qcTm5fHRc	Entertainment	4.76	129	3699	RadioKalin	21
o2-vlyNPaYI	Music	3.67	288	799	SouljaBoi900	3
sOV1VeDzfgE						
LumtG_iXdjA	Music	3	266	215	60543	2
aetA__BXplg	Entertainment	4.35	235	17840	heatherturnbow	48
zv4spX-VBak	Entertainment	0	243	902	LynBowenaboj	0
Oct5i7Tvk94	Entertainment	0	236	238	scottcacciatore1	0
JfD6KbvJDsc	Entertainment	3	128	250	momrocks2	1
16F76Li-w_E	Music	5	236	1249	ringtones1221	3
dwSsJPoyEAA	People & Blogs	2	189	147	callieReevesyvar	4
L4DICgyB6JE	Film & Animation	4.68	502	758085	SanarioSan	986
h5N-Pk-5ekc	Film & Animation	4.62	72	223040	thuylinh511	338
7nIiTqcYMyg	Film & Animation	4.72	153	704458	dreamcortex	805
JFBHPbEtfqA	Entertainment	4.6	178	452836	SpaceGhost2K	898
lfQ5I2FEFZo	People & Blogs	4.57	317	199448	mizuchilondon	212
YluDS-6LoB4	Film & Animation	4.41	140	355886	agerbeek	648
aIr1_n1bRAY	Entertainment	4.46	67	386851	SanrioCinnamon	413
wUurtulXrnI	Music	4.52	221	212093	karenkong99	252
0TQSMkXuZFs	Music	4.25	186	19132	simple4chi	16
LhcTuuAQeig	People & Blogs	4.59	78	185845	tempusmaster	206
n6nBHKz30UQ	Entertainment	4.78	120	72349	xiaoqiann	121
Du36up8CB04	Entertainment	4.66	60	86084	hellokittyfanchelly	107
eV71mpbvl-g	Pets & Animals	4.78	26	4316138	youryouyou	9424
nqU2obMOz0M	Comedy	4.89	763	2057	EmplehProductions	18
IfipxOAvjcw	Film & Animation	4.45	29	30825	sailormoonstars90	20
DBaaMNnewnE	Entertainment	4.59	134	59913	hknetmart2	70
S00MI_yPXXY	People & Blogs	4.45	35	57702	hellokittymuseum	65
J_nPoOckOZs	People & Blogs	3.26	189	31381	gdrmsp	19
sXPi6Fjmhi0	Music	4.39	60	192917	ChibiKiba	145
GDpuAqSzf9Q	Entertainment	4.5	40	1981	SecretLivesOfWomen	12
W5oYisN-DFk	Entertainment	4.43	55	1405	SecretLivesOfWomen	7
CBqv1DC3DGs						
BBQnwuS4RgA	Entertainment	3	31	361	SecretLivesOfWomen	2
QxpAy5K8Btg	Entertainment	4	38	743	SecretLivesOfWomen	4
cWPsL31ALVo	Film & Animation	4.5	188	344	thesecretcollection	4
hV-_Cg_Wb9E	Film & Animation	5	53	321	thesecretcollection	1
ZyFRjfDhZbk	Entertainment	4.27	3517	2653	bridgingheaven	11
#NAME?	Entertainment	4.48	353	16961	bethiemw	33
K-FIEd_CekM	News & Politics	4.86	332	7610	ForaTv	81
qdKby7boXcU	Entertainment	3.29	68	10284	TubeTop100	7
luB-JA8u8Fk	Education	4.75	601	488	rasavonwerder	8
iZHwdwLGbuA	Entertainment	3.82	29	3881	JasonBentleyJones	33
37vthK3EPeM	News & Politics	4.59	302	16332	Nimwghen	22
H3v3vWNp-YU	Music	4.86	259	104173	Insightful	202
xGb6tnuhDfM	Autos & Vehicles	2.33	25	4110	bigassfarts69	6
p_Je2J3aORA	Sports	4.12	149	15190	oKoAo	32
6kO2_FBPC4o	People & Blogs	4	41	12531	SheilaKelleysSFactor	5
dWKfN85xrFA	Entertainment	3.67	31	1413	SecretLivesOfWomen	6
phL0RLKL8bc	People & Blogs	4.79	154	2311640	MarcyFromMaui	1766
nTPV42xmwRQ	People & Blogs	2.33	54	223	lovebugg1986	6
6ChAZxm49wc	Travel & Events	4.33	292	3065	InfamousProject	15
C32_Rna_mko	Howto & Style	1	89	708	expertvillage	1
XBYo6w9H8_A	Film & Animation	4.25	32	16725	StudentMovies	28
GrvhZBZ5n_k	Howto & Style	3.33	116	1661	bodybuildingcourse	3
3xTk7ppDHWM	Comedy	5	469	334	pennylucky	2
cv9Tn-j8z3c	People & Blogs	0	39	132	missglamorousprom	0
t9M9auFsJMs	Howto & Style	4.22	202	9671	amy04	45
5h4lC7bTf3I	Education	0	98	163	fineartspot	0
QLkXs65x44s	Entertainment	0	187	41	chocopicante	0
3nSPbdOS4-g	Music	4.86	197	16149	dedelopez	28
Jhzia5ZO17M	Film & Animation	4.73	142	22576	daydreamingprincess	37
okuPTgzHTe0	Travel & Events	2.4	151	3526	newrealm06	5
YS_6PJmwBKA	Sports	5	308	1239	Perrygarl	3
SYnr6NMMzE4	People & Blogs	4.5	269	633	Orangutangz	2
O0v7jyj1jok	People & Blogs	4.83	212	1854	GaloreDefined	6
JyrB_R9cbkA	Sports	4.71	264	16102	Timnic23	14
4Du5CNQuPhQ	Science & Technology	5	555	1193	venomjojo	2
79L-NOZZxQw	Education	0	98	51	fineartspot	0
3NgXUJJO8II	Entertainment	5	554	1965	flairshow	1
lk_R1NCMRAg	Music	4.38	230	3084	mohd222cp	26
I7iPSp9VRFo	Music	1.9	215	231	stageleft4life	10
_s2PPML9r9o	Music	1	63	627	davoodnpussy	8
rzTFXp-CaKs	Music	5	120	148	debz28	1
2-tOL6R45Ig	Entertainment	2.64	409	5722	Nahulanham	11
o6yFvzZx7A8	Music	0	236	206	Snuttebubbe	0
6nJKD-FcLwI	People & Blogs	1.92	53	539	oneshot500	13
9mlnrtRMa-M	Entertainment	3.37	326	10294	HollaAtMe99	46
QZxrUo3Hacg	Entertainment	3.67	204	5683	mclorkus	24
hLy1MmVU_ko	Comedy	0	78	9736	cmdcmd20	0
wgXhN7lHXZs	Entertainment	0	549	2458	jackattack180	0
UbK8fYTi_UQ	Howto & Style	0	299	518	jamieyoungsongs	0
WZoMBFzDt6A	Entertainment	4.38	84	1220	uchihake	8
xnGKjmcw7MM	Entertainment	5	193	62	Joshes16	1
p3hJBIJD9bw	Howto & Style	3	306	665	sefonty	2
tIF5DIwY4Ww	Howto & Style	3.22	81	3498	Hellf1ghter	9
JrDoLQZ3amU	Entertainment	4.75	294	283	remixforthemasses	4
ENxpzfsOfio	Howto & Style	3	312	317	marouca1	2
NEHgvPvBfuI	Entertainment	3.18	51	4420	mark20070	11
wUhiYj1q1GI	Entertainment	0	62	669	mustafasjw	0
5XDm6dM6CL4	Howto & Style	2.75	76	1940	getit4freedude	4
FG-j841ezPw	Howto & Style	5	205	290	FreeHackMaster	2
ntCIV3-OBpA	Howto & Style	5	53	83	Wind2Destiny	1
Axm8ehXLilM	Entertainment	0	193	41	HowToGetFreeThings	0
2cI58Nz3rvI	Entertainment	0	78	1098	cmdcmd20	0
r57G8iVxoIg	Science & Technology	4.2	29	424	puebloplug	5
gHSE1DRYkKs	Science & Technology	3.5	21	3236	puebloplug	24
uGoK628b0ck	Science & Technology	2.23	79	62819	pat2darooney	44
J4wCV69uwJ0	Science & Technology	0	6	24	bubtime	0
2sFBDM-rkns	Science & Technology	0	82	26	JoJoBinxProductions	0
reEJTjKPYKc	Science & Technology	3.8	62	542	xXBR4D3NXx	10
pxMiKt4VTHs	Science & Technology	1	4	79	HOCKROCMAN	1
OL5Vc9pRLa8	Science & Technology	1	9	367	davidisbetterthenyou	4
YpvWyZLinRo	Howto & Style	3.81	137	29391	iownhalonoobs	90
tXAfMNYxEgk	People & Blogs	5	80	102	poptartkid01	1
h-1docf3qiQ	Science & Technology	1	30	218	poptartkid01	4
bgWToe8ygEc	Science & Technology	1	22	99	mousey685	7
vwNbeMVyTGo	Science & Technology	1	6	105	lzmsswrestling	1
vpkTBbUI2O4	Science & Technology	4	114	16765	LMcorporations	10
b9HurVwlLXw	Howto & Style	3.43	227	2351	iownhalonoobs	14
bp8ybWWtVkA	Entertainment	3.4	200	1856	TyrantBoyz	5
n_HKiuQwP-4	Howto & Style	5	313	2835	IYIasteI2	1
AelsCTq5wnw	Comedy	5	141	165	amandaehh	1
69e1YuCWAg8	Education	4.52	268	13293	RhettandLink	86
YWsGLAay19A	Film & Animation	0	22	550	SraahAlbanyvuoyje	0
MFZAqbjLt6Y	Science & Technology	2.33	77	488	matt3568	3
tMdJIrtGucU	Science & Technology	3	92	105	undaskkore	2
0lb33if4UA8	Science & Technology	5	447	172	matt3568	3
WP8j9x_6JM8	Entertainment	0	30	78	gagnepm2007	0
3ciKX1oPPzk	Howto & Style	0	47	36	kaygabs	0
vXEWW2-VRIo	Comedy	3	361	131	matt3568	2
m0esJ3AmfRw	Science & Technology	5	275	55	DRJ0K3R	3
osuM0-4Ba5Y	Entertainment	1	50	74	davidisbetterthenyou	2
Wf7vAKFnx9I	Science & Technology	3.79	140	5515	undaskkore	24
nzNFVAIxvV0	Howto & Style	4.2	277	2766	Heinz9493	10
Y5NIBctPtec	Howto & Style	1	385	727	thand12	1
EiLb9xG3-lY	Entertainment	4	309	767084	squishless	4
0P6xpDFRG8E	Howto & Style	3	67	738	ipodtouchPROhacker	2
dI7XileC4q4	Science & Technology	5	124	2638	MjjTV	9
_vQAhDY8KNk	Science & Technology	0	46	328	rrsx01	0
eoAwgK787R8	Education	2.14	193	486	jjamesj2	7
uTn9UNz1QFs	Entertainment	3	103	578	KaosDOSK	6
QbKcGSMo5IQ	Film & Animation	0	27	79	LILKING32	0
_ksPVNvlpvg	Entertainment	3	34	866	SpodProductions	2
ZJ3mA6R2AxU	Science & Technology	4.5	122	2252	MjjTV	14
qkOLS3b3GYc	Science & Technology	3	183	126	sly4ever555	5
bj_A74W897I	Science & Technology	5	89	350	bumuckl	1
rpq5WGPHqZU	Howto & Style	5	42	118	kewler26693	2
avb9o-QE7OA	Entertainment	5	87	87	GhostMirror3567	2
